feature,train,train_10_fold,combined,combined_10_fold,mean
dur,3.0998301866569244,3.0933380875940393,3.237419811211532,2.4112990085783985,2.9604717735102235
proto,0.5568557880742382,0.829306051321552,0.9609652044735597,1.075065200716388,0.8555480611464344
service,0.35486845230160147,0.4547943829687421,0.8484729945626397,0.8365622796459472,0.6236745273697326
state,0.3211871839118642,2.392517979397061,1.9228829976522885,1.6128254357401293,1.5623533991753358
spkts,1.5124698484713701,0.8015858915688419,2.1664709139855787,0.8766482213006044,1.3392937188315988
dpkts,0.9380228888754946,1.353676351323664,0.45969664636698654,2.0689505031322692,1.2050865974246037
sbytes,3.292069821001543,3.618872391670516,5.533858444757981,4.075151003644491,4.129987915268632
dbytes,1.1889350242282724,2.2792316552597867,2.181784630264738,2.8999178861941353,2.137467298986733
rate,9.161695435698483,4.8932061149063015,3.2691099040997527,4.192146768658401,5.379039555840735
sttl,14.372745178929183,12.6659229993843,7.763551463869928,11.78051618156904,11.645683955938113
dttl,5.039761115698414,7.191794688715067,0.46277142845720143,4.033133544069291,4.181865194234994
sload,1.3543757952326851,4.35447852109563,4.465606381527017,5.0678833730243324,3.810586017719916
dload,3.155873171800131,8.699662946255707,7.728670912946186,5.406754497382232,6.2477403820960635
sloss,0.636536377257515,1.1137319160539687,1.0918404385642895,1.3998755196740575,1.0604960628874576
dloss,2.2864361735698333,0.31737809484640944,0.8580752555689549,0.7703048973578586,1.058048605335764
sinpkt,1.1234721069734697,1.6205475371487192,4.4467762758879115,1.8684843613964133,2.2648200703516284
dinpkt,1.0835328855570547,2.9854632093006623,0.8648500089701374,3.407193200218406,2.085259826011565
sjit,1.0504195563715633,1.8346468637665603,0.9917449898598756,1.4474732667380181,1.3310711691840043
djit,0.7788231054103897,1.252590464808968,2.3632249501623668,1.1568963639675476,1.3878837210873178
swin,0.07109709796812176,0.6318722354097084,0.59886898913711,0.7916824303776543,0.5233801882231486
stcpb,0.706704833264627,0.7229168228257027,0.7499987264207097,0.79080035361098,0.7426051840305049
dtcpb,0.7080531064363763,0.7224998091414305,0.8441821076090299,0.8334533598643453,0.7770470957627956
dwin,0.07219297142103463,0.04571256344915554,0.0003332537480879223,0.0881792651372184,0.05160451343887412
tcprtt,4.214517373118275,2.1854333204401644,3.2280890016521853,2.9271810450886284,3.1388051850748133
synack,3.839419584288272,2.480071841925984,6.81686304597007,2.6704230810868634,3.9516943883177973
ackdat,0.7532371194643995,3.7923459290524617,3.8598930936219604,2.7940077943226544,2.799870984115369
smean,2.1142137018501836,2.616817955977033,3.684305878710198,3.6846843741911917,3.0250054776821518
dmean,3.7126025636929327,4.3374877064924755,3.3553328321052014,3.0010919436524297,3.6016287614857596
trans_depth,0.07031316349844033,0.1172637148131323,0.13049317646947872,0.13248815266450273,0.11263955186138852
response_body_len,0.19193502939734164,0.14089315600303542,0.40116531971340386,0.38362827995239446,0.27940544626654384
ct_srv_src,1.732836775449465,1.9251227255132084,2.032149657683442,2.787910018857468,2.119504794375896
ct_state_ttl,20.692944637394284,9.821031721183079,11.229276569862296,10.700905982350452,13.111039727697527
ct_dst_ltm,0.6423701342983289,0.6719091835594442,0.6491076670433416,0.8486453267008325,0.7030080779004868
ct_src_dport_ltm,0.7291969046292133,0.584247010760189,0.7086752855869078,0.6432558652063062,0.6663437665456541
ct_dst_sport_ltm,0.6776917997649237,0.5624280586394639,0.6050781979740113,1.523211092526261,0.842102287226165
ct_dst_src_ltm,1.7165133366944862,2.1747560658333427,4.869995824862185,3.7084768795708203,3.1174355267402087
is_ftp_login,0.005210187750266137,0.010562375366074178,0.011970731542005123,0.010472708596041403,0.00955400081359671
ct_ftp_cmd,0.00952795382981441,0.008405032564211476,0.009131526801433497,0.015340949530213602,0.010601365681418246
ct_flw_http_mthd,0.1048306935562678,0.14665161596129273,0.22836593254237084,0.23243815224230638,0.17807159857555943
ct_src_ltm,0.639114393628223,0.6949502651272641,1.5991753994880131,0.81529297320597,0.9371332578623676
ct_srv_dst,4.902709151604371,3.1688567817176745,2.6347126975489084,3.7911260304847927,3.624351165338936
is_sm_ips_ports,0.38485739098032534,0.6850179608579807,0.1350614307187311,0.4382224277716986,0.410789802582184
